;:category;:sales;:date;:unit;:name;:ean;:profit;:category-id;:vat;:weight;:id;:qty
702;Sery żółte Waga;26.94;2018-11-10;kg;Demi Ser Gouda Blok1x3kg;2902023000000;6.29;040303;5;1.000;F01450_000209;1.486
703;Desery, serki, kefiry;2.27;2018-11-10;szt;BAKOMA DES.BAKUŚ KIESZ.WANILIA 80G;5900197019227;0.59;060801;8;1.000;F01450_000252;1.000
704;Desery, serki, kefiry;2.27;2018-11-10;szt;BAKOMA BAKUŚ DES.KARMEL 80G;5900197019234;0.59;060801;8;1.000;F01450_000253;1.000
705;Pieczywo regionalne - Bułki i bagietki;1.21;2018-11-10;szt;Bułka IG (Kupczyk 0327);80046;0.26;100208;23;1.000;F01450_000262;1.000
706;Pieczywo regionalne - Bułki i bagietki;1.04;2018-11-10;szt;Bułka duża (Kupczyk);80098;0.20;100208;5;1.000;F01450_000268;1.000
707;Pieczywo regionalne - Bułki i bagietki;1.89;2018-11-10;szt;Bułka Mała 0,05g (Kupczyk 0310);80048;0.33;100208;5;1.000;F01450_000271;2.000
708;Pieczywo mrożone - Bułki, bagietki;18.28;2018-11-10;szt;BUŁKA FIT ŚNIADANIOWA (Kod:000383);80055;4.48;100204;8;1.000;F01450_000310;20.000
709;Akcesoria gospodarstwa domowego;2.15;2018-11-10;szt;ŻARÓWKA 75W SOLEO;5907758827345;0.66;110201;23;1.000;F01450_000316;1.000
710;Jaja;31.19;2018-11-10;szt;JAJKA ŚWIEŻE L 18 X 10SZT;5903034971047;28.79;060101;5;1.000;F01450_000318;5.000
711;Znicze;5.73;2018-11-10;szt;WKŁAD W-6 60H FENIX;5901549057140;1.71;110206;23;1.000;F01450_000386;3.000
712;Woda;6.42;2018-11-10;szt;WOJCIESZOWIANKA 5l Woda N/G;5905453000643;1.78;070101;23;5.000;F01450_000430;2.000
713;Artykuły przemysłowe inne;5.57;2018-11-10;szt;BATERIA YOKOHAMA R20;5906874345245;1.67;110202;23;1.000;F01450_000435;1.000
714;farmacja;5.82;2018-11-10;szt;ACTIVEMUSS MULTIWITAMINA 24TAB;5902891177500;1.74;030401;8;1.000;F01450_000468;1.000
715;Akcesoria gospodarstwa domowego;4.31;2018-11-10;szt;ŻARÓWKA 40W ŚWIECZKA SOLEO;5907758830246;1.33;110201;23;1.000;F01450_000476;2.000
716;Prasa;5.00;2018-11-10;szt;DOBRY TYDZIEŃ;9772391721802;1.16;030201;8;1.000;F01450_000540;3.000
717;Prasa;2.77;2018-11-10;szt;SZYFRO KRZYŻÓWKI NR 3;9771641170810;0.65;030201;8;1.000;F01450_000563;1.000
718;Prasa;1.84;2018-11-10;szt;PRZYJACIÓŁKA NR 1;9770033253803;0.43;030201;8;1.000;F01450_000573;1.000
719;Prasa;1.47;2018-11-10;szt;100 RAD NR 2;9772543602805;0.35;030201;8;1.000;F01450_000579;1.000
720;Akcesoria gospodarstwa domowego;3.13;2018-11-10;szt;GĄBKA ANTYCELLULIT RAVI;5906900008113;0.94;110201;23;1.000;F01450_000584;1.000
721;Prasa;1.48;2018-11-10;szt;NA ŻYWO NR3;9771234249800;0.35;030201;8;1.000;F01450_000600;1.000
722;Pieczywo mrożone - Bułki, bagietki;24.05;2018-11-10;szt;Kajzerka Galicyjska Premium 65gx120szt (kod:001242);80082;12.39;100204;8;1.000;F01450_000601;53.000
723;Przyprawy;1.44;2018-11-10;szt;Rodzynki 100g ROLWIT;5903986000161;0.52;120708;8;0.100;F01450_000811;1.000
724;Odświeżacze;5.65;2018-11-10;szt;ZAPALNICZKA KOST K-09 PIEZO OKLEJKA SLIM 25S;4260354850140;1.65;020301;23;1.000;F01450_000875;5.000
725;mąka;1.95;2018-11-10;szt;MĄKA tortowa Bolesławiecka 10x1kg;5901883000017;0.40;121004;5;1.000;F01450_000902;1.000
726;Wyroby podrobowe i garmażeryjne waga;3.63;2018-11-10;kg;WĘDZONKA CZOSNKOWA WĘDLINDROBEX;2902482000000;0.95;040409;5;1.000;F01450_000906;0.248
727;Pieczywo mrożone - Bułki, bagietki;11.02;2018-11-10;szt;BUŁKA CHŁOPSKA ZIEMNIACZANA 90G/90 IN;80094;2.76;100204;8;7.200;F01450_000912;14.000
728;Pieczywo regionalne - Chleb ciemny;27.90;2018-11-10;szt;CHLEB DLA ŻYCIA KUPCZYK;80095;4.70;100210;5;1.000;F01450_000914;8.000
